Week;Campaign;Visits;Revenue;Cost
1;Campaign_A;27;2.269511284;3.76362691
2;Campaign_A;64;10.82040323;15.32261335
3;Campaign_A;80;7.132997909;10.75353319
4;Campaign_A;93;11.08581278;16.90619144
5;Campaign_A;120;14.28248077;21.44656956
6;Campaign_A;130;19.43040832;27.21866242
7;Campaign_A;146;28.63059596;39.05580475
8;Campaign_A;173;22.41456671;29.49086812
9;Campaign_A;170;32.7211113;42.53305475
10;Campaign_A;218;49.71820788;63.43635836
11;Campaign_A;237;76.2953977;93.25047588
12;Campaign_A;251;77.51338152;84.35376632
13;Campaign_A;260;66.76653858;77.85567637
14;Campaign_A;282;89.68041029;109.2392949
15;Campaign_A;321;74.63516293;81.62402496
16;Campaign_A;314;104.203941;112.2039497
17;Campaign_A;336;96.09461257;102.9557404
18;Campaign_A;373;109.3105489;116.5932487
19;Campaign_A;376;142.6514945;146.76387
20;Campaign_A;418;118.9663607;118.9070315
21;Campaign_A;455;133.5038272;127.0408016
22;Campaign_A;448;142.6072075;136.75573
23;Campaign_A;482;159.884697;150.7271686
24;Campaign_A;499;107.5608389;102.0195674
25;Campaign_A;512;200.0442252;183.178467
26;Campaign_A;525;184.1495569;163.8628416
27;Campaign_A;550;216.8082122;189.1322684
28;Campaign_A;566;222.9755046;197.3928989
29;Campaign_A;581;198.7417538;172.3815389
30;Campaign_A;613;257.580258;213.4228389
1;Campaign_B;128;130.0163143;142.1108238
2;Campaign_B;114;126.1477678;144.6386308
3;Campaign_B;99;102.6325763;110.7523776
4;Campaign_B;112;117.1110635;124.3931338
5;Campaign_B;107;114.8297251;130.0017959
6;Campaign_B;127;142.8597123;159.8888754
7;Campaign_B;118;136.537661;146.530014
8;Campaign_B;139;165.0170218;182.0185594
9;Campaign_B;145;167.458543;201.8180496
10;Campaign_B;139;169.4498802;185.2567096
11;Campaign_B;148;175.2494879;202.4326242
12;Campaign_B;139;177.2920684;193.2839289
13;Campaign_B;173;222.3378768;256.4379269
14;Campaign_B;157;189.8828661;202.0418591
15;Campaign_B;162;210.2630427;235.3217999
16;Campaign_B;177;215.6860135;234.078787
17;Campaign_B;181;241.2063363;266.8932646
18;Campaign_B;193;258.6041281;295.2792242
19;Campaign_B;189;250.2967337;286.2207084
20;Campaign_B;190;260.5007884;290.6439033
21;Campaign_B;193;281.7250929;307.1511601
22;Campaign_B;201;285.4724822;310.2011824
23;Campaign_B;223;314.434445;339.7164055
24;Campaign_B;216;342.5326467;394.5944256
25;Campaign_B;226;352.3790953;399.3685262
26;Campaign_B;217;317.1239167;333.9863518
27;Campaign_B;229;372.5083789;423.2917571
28;Campaign_B;249;397.7577665;445.1941351
29;Campaign_B;250;393.9213846;453.1030986
30;Campaign_B;247;408.3399718;441.6298931
1;Campaign_C;149;291.1553787;232.4000351
2;Campaign_C;141;284.9947229;245.4979527
3;Campaign_C;148;318.2475994;267.8006052
4;Campaign_C;158;324.1884571;285.673137
5;Campaign_C;154;324.6813209;291.869637
6;Campaign_C;144;321.4065789;284.3417189
7;Campaign_C;157;349.8976875;320.742286
8;Campaign_C;144;322.839472;301.3635106
9;Campaign_C;155;371.0058043;339.1265121
10;Campaign_C;144;330.9406559;294.7640097
11;Campaign_C;161;373.1897297;344.8682615
12;Campaign_C;140;337.6265961;305.4520821
13;Campaign_C;155;376.7914516;359.0526045
14;Campaign_C;152;367.8303881;349.3314049
15;Campaign_C;143;341.2953952;307.0429451
16;Campaign_C;151;373.1109378;347.5069009
17;Campaign_C;154;383.7907921;360.6928023
18;Campaign_C;149;383.1890766;367.0624847
19;Campaign_C;141;365.9198004;364.6363344
20;Campaign_C;151;384.5126769;367.0123873
21;Campaign_C;149;391.3293528;397.9167878
22;Campaign_C;168;441.4947742;449.2238464
23;Campaign_C;152;412.905441;424.624515
24;Campaign_C;163;449.8508672;466.5801313
25;Campaign_C;145;398.168574;403.0804716
26;Campaign_C;162;453.5949652;481.5136021
27;Campaign_C;158;451.9015826;490.7762307
28;Campaign_C;151;421.5805402;454.7502796
29;Campaign_C;159;463.2492648;507.5219505
30;Campaign_C;125;357.4126729;389.8688835
30;Campaign_C;125;357.4126729;389.8688835
